Country Name,1960,1960 Male,1960 Female,1970,1970 Male,1970 Female,1980,1980 Male,1980 Female,1990,1990 Male,1990 Female,2000,2000 Male,2000 Female,2010,2010 Male,2010 Female,2020,2020 Male,2020 Female,2022,2022 Male,2022 Female
Canada,17909356,9058385,8850971,21324000,10690634,10633366,24515667,12207486,12308181,27691138,13727739,13963399,30685730,15193559,15492171,34004889,16852629,17152260,38007166,18885404,19121762,38929902,19346659,19583244
Switzerland,5327827,2581133,2746695,6180877,3019526,3161351,6319408,3074183,3245225,6715519,3279769,3435750,7184250,3510707,3673543,7824909,3853536,3971373,8638167,4285784,4352384,8775760,4357959,4417801
Channel Islands,109186,52552,56634,121003,58678,62325,127984,61590,66394,140601,67861,72740,145306,70420,74886,156933,76785,80148,171113,84587,86526,174079,86165,87914
Chile,8141820,4092573,4049247,9820481,4909600,4910882,11469828,5715949,5753879,13342868,6636684,6706184,15351799,7627655,7724143,17004162,8437983,8566180,19300315,9579957,9720358,19603733,9729531,9874202
China,667070000,341138996,325931004,818315000,416968741,401346258,981235000,499521578,481713423,1135185000,578362685,556822315,1262645000,645562937,617082063,1337705000,684712330,652992671,1411100000,720928153,690171848,1412175000,720646499,691528501
Cote d'Ivoire,3708661,1881552,1827109,5477086,2808143,2668943,8303810,4270600,4033209,11910540,6048166,5862374,16799670,8469483,8330187,21120042,10717965,10402077,26811790,13547621,13264169,28160542,14215570,13944972
Cameroon,5117608,2496189,2621418,6452787,3150133,3302654,8519891,4190110,4329782,11430520,5656408,5774111,15091594,7488888,7602707,19878036,9890121,9987915,26491087,13210626,13280460,27914536,13922522,13992014
"Congo, Dem. Rep.",15276558,7300971,7975587,20151733,9767659,10384074,26708686,13094069,13614618,35987541,17791559,18195981,48616317,24034091,24582226,66391257,32885195,33506062,92853164,46065978,46787187,99010212,49118035,49892177
"Congo, Rep.",1055693,519616,536077,1396989,687067,709923,1829256,898860,930396,2385435,1173727,1211708,3134030,1550503,1583527,4437884,2211326,2226558,5702174,2847552,2854622,5970424,2981800,2988624
Colombia,15687688,7811878,7875810,20905254,10450228,10455025,26176195,13107504,13068691,32601393,16281573,16319819,39215135,19469885,19745251,44816108,22167933,22648175,50930662,25139588,25791075,51874024,25575607,26298417
Comoros,194852,97171,97681,242351,121627,120723,328328,165532,162796,431119,215287,215832,536758,266733,270024,656024,328043,327981,806166,404903,401263,836774,420357,416416
